"","drg","stateProvider","num_charges","mean_charge"
"182","065","ND",6,15261.9716766667
"183","065","NE",17,25337.2367064706
"184","065","NH",13,21421.3848746154
"185","065","NJ",59,59575.7387159322
"186","065","NM",13,29298.7728530769
"187","065","NV",13,47196.6120353846
"188","065","NY",120,29625.2847652917
"189","065","OH",93,23625.555688086
"190","065","OK",34,23441.1366355882
"191","065","OR",24,21124.946297625
"192","065","PA",110,32450.8439166909
"193","065","RI",9,22952.0421266667
"194","065","SC",40,28141.369144
"195","065","SD",7,19944.6684042857
"196","065","TN",48,24452.7941979167
"197","065","TX",161,34563.3681595031
"198","065","UT",8,20897.305985
"199","065","VA",62,22887.3558306452
"200","065","VT",5,16080.276484
"201","065","WA",39,26354.1504953846
"202","065","WI",50,21422.60433834
"203","065","WV",22,15427.7514548636
"204","065","WY",4,21785.8999575
"205","066","AK",4,25843.3279175
"206","066","AL",40,21130.76332415
"207","066","AR",28,15041.3517064286
"208","066","AZ",30,25945.6375423333
"209","066","CA",145,42299.6189962069
"210","066","CO",18,24989.4697483333
"211","066","CT",25,20631.79634704
"212","066","DC",6,29265.2632433333
"213","066","DE",5,16903.820902
"214","066","FL",121,29313.4817442975
"215","066","GA",55,20307.3681594545
"216","066","HI",10,22345.214482
"217","066","IA",20,15878.77727055
"218","066","ID",7,13070.1803671429
"219","066","IL",90,23830.9732895556
"220","066","IN",53,17542.5857665283
"221","066","KS",16,21773.359571875
"222","066","KY",27,18428.7030807037
"223","066","LA",30,19487.7354833333
"224","066","MA",42,15739.9701865714
"225","066","MD",38,8144.53146707895
"226","066","ME",9,12972.2777088889
"227","066","MI",61,15376.6669104426
"228","066","MN",26,19123.0723624615
"229","066","MO",43,20664.245962093
"230","066","MS",25,20268.7529168
"231","066","MT",8,11868.293570375
"232","066","NC",63,16302.9856882222
"233","066","ND",6,11126.048834
"234","066","NE",12,19107.760965
"235","066","NH",12,19211.1547075
"236","066","NJ",56,45819.1313107143
"237","066","NM",8,18984.6863525
"238","066","NV",11,34190.8648827273
"239","066","NY",92,22664.8906585761
"240","066","OH",72,20079.7036373472
"241","066","OK",25,18569.0577876
"242","066","OR",19,15375.0047631579
"243","066","PA",87,27439.4510115747
"244","066","RI",5,19580.554538
"245","066","SC",34,21381.6662623529
"246","066","SD",6,15407.3839078333
"247","066","TN",39,18563.7646737949
"248","066","TX",127,28023.2224652756
"249","066","UT",8,15196.67375625
"250","066","VA",51,18614.636680902
"251","066","VT",4,13845.6134775
"252","066","WA",38,21829.9982908947
"253","066","WI",33,17795.1320154545
"254","066","WV",14,13269.4650922857
"255","066","WY",2,18102.62217
"256","069","AK",2,19266.296055
"257","069","AL",48,17936.3954803333
"258","069","AR",24,14511.850186125
"259","069","AZ",30,24220.2008716667
"260","069","CA",149,37044.3622067114
"261","069","CO",24,23465.3703265417
"262","069","CT",25,17801.76371504
"263","069","DC",4,20395.420735
"264","069","DE",5,14829.174494
"265","069","FL",141,27596.2246258156
"266","069","GA",56,20275.3973626786
"267","069","HI",2,19450.91575
"268","069","IA",18,14928.0051527778
"269","069","ID",6,12533.5184766667
"270","069","IL",105,21159.6918071429
"271","069","IN",51,16340.2445873922
"272","069","KS",15,20476.5422503333
"273","069","KY",42,16274.5133339524
"274","069","LA",32,18601.0939260937
"275","069","MA",50,12929.52042682
"276","069","MD",39,7078.00295892308
"277","069","ME",10,11558.0821384
"278","069","MI",69,13142.8831344203
"279","069","MN",25,15582.35302692
"280","069","MO",46,18706.1146312391
"281","069","MS",30,17887.4157195667
"282","069","MT",4,11817.1687475
"283","069","NC",63,15046.7804518571
"284","069","ND",3,10747.2677833333
"285","069","NE",13,17188.7654961538
"286","069","NH",9,15446.0439577778
"287","069","NJ",61,41916.696062459
"288","069","NM",8,19462.70299125
"289","069","NV",10,32963.216652
"290","069","NY",123,18651.3718132683
"291","069","OH",90,17601.3400810667
"292","069","OK",32,15907.4317453125
"293","069","OR",14,14533.9255273571
"294","069","PA",104,23102.8084135
"295","069","RI",7,18108.8782604286
"296","069","SC",31,19779.8705577419
"297","069","SD",6,13770.9287765
"298","069","TN",46,17435.8187547609
"299","069","TX",139,26177.779422482
"300","069","UT",6,14362.3670583333
"301","069","VA",60,16394.4036313167
"302","069","VT",2,14188.63875
"303","069","WA",33,19666.9324469697
"304","069","WI",27,16954.0727625926
"305","069","WV",23,10955.8336745652
"306","074","AL",17,25716.808
"307","074","AR",7,16824.3937518571
"308","074","AZ",18,25481.5049688889
"309","074","CA",70,43620.981732
"310","074","CO",7,24193.0342857143
"311","074","CT",13,21001.7927792308
"312","074","DC",5,26662.120232
"313","074","DE",2,17422.24868
"314","074","FL",77,29914.9595428571
"315","074","GA",29,21091.5296855172
"316","074","IA",7,16945.1483814286
"317","074","ID",2,14720.13801
"318","074","IL",58,24093.5497012069
"319","074","IN",21,20557.1126466667
"320","074","KS",8,23608.79410625
"321","074","KY",14,17890.4563855714
"322","074","LA",12,23283.2252441667
"323","074","MA",35,13749.1875611714
"324","074","MD",29,8238.58302389655
"325","074","ME",6,14256.3866933333
"326","074","MI",40,16212.695024575
"327","074","MN",10,21264.997079
"328","074","MO",29,21562.2473914828
"329","074","MS",12,28580.763125
"330","074","MT",2,10017.8461515
"331","074","NC",36,17362.6554519444
"332","074","ND",1,12602.27273
"333","074","NE",3,26424.6805566667
"334","074","NH",4,14832.7910725
"335","074","NJ",41,42992.8101346341
"336","074","NM",2,19239.694735
"337","074","NV",7,45351.3110471429
"338","074","NY",64,24708.9701472344
"339","074","OH",53,18169.7745348302
"340","074","OK",11,27131.2247536364
"341","074","OR",2,20591.19643
"342","074","PA",48,31104.0186069167
"343","074","RI",4,20310.66818
"344","074","SC",17,25379.4961211765
"345","074","SD",3,22084.7569433333
"346","074","TN",21,25074.0611452381
"347","074","TX",70,29661.233757
"348","074","UT",1,32920.07692
"349","074","VA",26,19364.4358098462
"350","074","VT",1,20524.68421
"351","074","WA",14,24092.9934742857
"352","074","WI",12,18997.3736391667
"353","074","WV",8,12438.928747875
"354","101","AK",2,23156.088235
"355","101","AL",33,19729.8068759394
"356","101","AR",15,15167.0232150667
"357","101","AZ",27,24450.5895125926
"358","101","CA",134,37126.8717516418
"359","101","CO",16,23448.54242625
"360","101","CT",23,17746.2432234783
"361","101","DC",6,25716.24675
"362","101","DE",4,15134.951785
"363","101","FL",125,25531.46997984
"364","101","GA",50,19764.4537112
"365","101","HI",3,21506.6075033333
"366","101","IA",12,13612.51517
"367","101","ID",3,18462.3826233333
"368","101","IL",94,20071.3591731489
"369","101","IN",35,15054.9415974286
"370","101","KS",13,18707.3510961538
"371","101","KY",28,15746.2317771429
"372","101","LA",24,16911.804871125
"373","101","MA",47,11970.6205024043
"374","101","MD",40,7505.509091375
"375","101","ME",4,13186.571402
"376","101","MI",57,13346.3186988596
"377","101","MN",18,16859.9514936667
"378","101","MO",40,17752.91377395
"379","101","MS",25,18782.78479488
"380","101","MT",3,12926.21389
"381","101","NC",44,15967.6017110227
"382","101","ND",2,9545.2023815
"383","101","NE",11,17934.26464
"384","101","NH",8,16256.97424
"385","101","NJ",58,42314.1824367241
"386","101","NM",6,18469.5780033333
"387","101","NV",14,32346.1712714286
"388","101","NY",113,18834.4414773982
"389","101","OH",69,17236.8897175217
"390","101","OK",19,16975.7428546842
"391","101","OR",5,17529.87954
"392","101","PA",78,25161.9071360385
"393","101","RI",7,17158.2710942857
"394","101","SC",28,20575.50047825
"395","101","SD",3,17544.96032
"396","101","TN",29,17778.357807931
"397","101","TX",109,24988.0057366972
"398","101","UT",3,13496.8412723333
"399","101","VA",42,17104.8093557143
"400","101","VT",1,14469.54839
"401","101","WA",25,20038.03797476
"402","101","WI",20,16674.59715435
"403","101","WV",16,10410.0392065625
"404","101","WY",2,13755.549105
"405","149","AL",10,17406.8427783
"406","149","AR",1,9700
"407","149","AZ",20,21584.3561235
"408","149","CA",58,31230.5577424138
"409","149","CO",9,21096.6143955556
"410","149","CT",14,14648.4923192857
"411","149","DC",4,17583.1660825
"412","149","DE",3,13606.9694233333
"413","149","FL",93,23463.6795236559
"414","149","GA",17,16307.8079837059
"415","149","IA",8,12496.799077
"416","149","IL",74,18806.0522901351
"417","149","IN",29,14680.6545625172
"418","149","KS",6,15545.7331033333
"419","149","KY",16,13877.2676270625
"420","149","LA",6,16923.2534416667
"421","149","MA",40,11360.58982995
"422","149","MD",35,6072.10601202857
"423","149","ME",4,11335.48910225
"424","149","MI",39,12927.8750135385
"425","149","MN",11,15607.7150863636
"426","149","MO",29,16358.5150380345
"427","149","MS",7,16957.2905485714
"428","149","MT",1,11773.73684
"429","149","NC",29,14303.7486514483
"430","149","NE",5,16201.895046
"431","149","NH",2,14413.30769
"432","149","NJ",50,34915.5397016
"433","149","NM",1,17929.72222
"434","149","NV",10,27773.148034
"435","149","NY",97,15763.5281651031
"436","149","OH",56,15154.3790806429
"437","149","OK",10,13949.4035451
"438","149","OR",1,8653.75
"439","149","PA",59,21335.963791661
"440","149","RI",4,17702.232555
"441","149","SC",9,17530.3281011111
"442","149","SD",3,15012.18459
"443","149","TN",12,15155.4118858333
"444","149","TX",52,25103.6177792308
"445","149","UT",1,8738.363636
"446","149","VA",27,15397.4848264444
"447","149","WA",7,19943.8882171429
"448","149","WI",13,14296.1293436154
"449","149","WV",6,10571.7913705
"450","176","AK",1,35672.65385
"451","176","AL",31,25577.2194412903
"452","176","AR",17,18553.2323847059
"453","176","AZ",31,29698.6052441935
"454","176","CA",73,52302.4966273973
"455","176","CO",24,26779.7284479167
"456","176","CT",18,24699.3031327778
"457","176","DC",6,27309.4969333333
"458","176","DE",3,19843.26962
"459","176","FL",86,34577.0406404651
"460","176","GA",47,24644.8182244681
"461","176","HI",1,18937.61538
"462","176","IA",19,18255.4295347368
"463","176","ID",7,15094.4914414286
"464","176","IL",75,28185.1442542667
"465","176","IN",42,20463.4548438095
"466","176","KS",13,25764.3249107692
"467","176","KY",22,20171.1398863636
"468","176","LA",20,24900.1167865
"469","176","MA",35,15568.6716791143
"470","176","MD",37,10176.8631802973
"471","176","ME",6,17658.4624616667
"472","176","MI",50,19081.6212654
"473","176","MN",21,19464.4467542857
"474","176","MO",33,24420.5104460606
"475","176","MS",18,22613.5030588889
"476","176","MT",8,13602.57751625
"477","176","NC",57,18968.768655614
"478","176","ND",6,13570.20175
"479","176","NE",12,22563.9910083333
"480","176","NH",11,19901.7348136364
"481","176","NJ",36,58940.97849
"482","176","NM",4,21124.59091
"483","176","NV",12,45882.5997816667
"484","176","NY",61,28768.2969671639
"485","176","OH",63,22153.1148148571
"486","176","OK",18,22901.1151761111
"487","176","OR",12,17389.1412716667
"488","176","PA",65,33069.3661058462
"489","176","RI",4,24016.885415
"490","176","SC",26,28151.3688803846
"491","176","SD",8,19234.630385
"492","176","TN",39,21531.454174359
"493","176","TX",81,32769.5226820988
"494","176","UT",14,16189.4083642857
"495","176","VA",43,21929.3350130233
"496","176","VT",3,14455.8891466667
"497","176","WA",30,24467.28369
"498","176","WI",31,17802.2603719677
"499","176","WV",14,15737.7043657143
"500","176","WY",2,21128.96307
"501","177","AK",2,61224.641415
"502","177","AL",39,50001.2434346154
"503","177","AR",23,33602.0635133478
"504","177","AZ",31,59259.9259993548
"505","177","CA",172,99513.3815799419
"506","177","CO",21,54290.4218204762
"507","177","CT",31,36517.7539147419
"508","177","DC",3,56789.56384
"509","177","DE",5,32285.003478
"510","177","FL",125,66320.2367868
"511","177","GA",59,43533.7582894915
"512","177","HI",7,43565.0992242857
"513","177","IA",21,31328.9981085714
"514","177","ID",8,29821.8264225
"515","177","IL",86,50125.1411077907
"516","177","IN",48,36846.466679375
"517","177","KS",19,47203.5606126316
"518","177","KY",41,34898.9570580488
"519","177","LA",32,48996.2860515625
"520","177","MA",47,25549.1451638298
"521","177","MD",32,18021.8783485625
"522","177","ME",11,33050.9310945455
"523","177","MI",64,31120.9656117187
"524","177","MN",24,37339.2653695833
"525","177","MO",47,42402.6503770213
"526","177","MS",25,47769.7606612
"527","177","MT",8,25130.40592375
"528","177","NC",69,32540.6861304348
"529","177","ND",6,24980.5244916667
"530","177","NE",11,45479.2619218182
"531","177","NH",12,34225.3853075
"532","177","NJ",50,89473.0941936
"533","177","NM",7,37665.0109371429
"534","177","NV",8,91932.5628425
"535","177","NY",90,48455.2248972222
"536","177","OH",80,37375.928854625
"537","177","OK",26,45049.6140834615
"538","177","OR",12,37377.0564816667
"539","177","PA",98,53118.402529898
"540","177","RI",7,39727.9143457143
"541","177","SC",34,51931.3387541176
"542","177","SD",5,46744.724574
"543","177","TN",57,41446.8043825263
"544","177","TX",133,59164.7548897744
"545","177","UT",8,32502.8426825
"546","177","VA",56,35352.4487735714
"547","177","VT",4,29841.059105
"548","177","WA",38,40839.6685215789
"549","177","WI",32,33571.9498025
"550","177","WV",18,29899.9681433333
"551","177","WY",2,43275.73086
"552","178","AK",3,43348.45614
"553","178","AL",44,36156.2656977273
"554","178","AR",27,24168.9067869259
"555","178","AZ",31,38947.2873732258
"556","178","CA",164,68287.1622443293
"557","178","CO",21,40111.3137009524
"558","178","CT",28,26182.27246625
"559","178","DC",4,35056.8578825
"560","178","DE",4,23023.29068
"561","178","FL",115,47800.2522947826
"562","178","GA",62,30888.6124695161
"563","178","HI",8,33609.65824375
"564","178","IA",23,20991.7892821739
"565","178","ID",5,24365.623324
"566","178","IL",82,34872.1805886585
"567","178","IN",52,25741.1731273077
"568","178","KS",25,30574.3070648
"569","178","KY",48,24763.7273076042
"570","178","LA",42,33139.5136347619
"571","178","MA",48,17951.008881875
"572","178","MD",36,12892.6865195278
"573","178","ME",14,19107.4739614286
"574","178","MI",59,21517.6916164407
"575","178","MN",30,23325.423638
"576","178","MO",47,29405.8389880851
"577","178","MS",32,30721.25952
"578","178","MT",8,18597.40572875
"579","178","NC",66,23069.2936445455
"580","178","ND",5,16488.205786
"581","178","NE",13,33075.0961661538
"582","178","NH",12,23220.6825341667
"583","178","NJ",50,67440.1848538
"584","178","NM",9,31591.5833044444
"585","178","NV",9,74789.9390144444
"586","178","NY",101,31906.2727858515
"587","178","OH",75,25867.1386841333
"588","178","OK",31,30769.8200983871
"589","178","OR",13,25432.7936169231
"590","178","PA",87,39497.7063813103
"591","178","RI",10,27192.845179
"592","178","SC",30,35773.0255423333
"593","178","SD",7,27991.5593628571
"594","178","TN",61,27144.0150759016
"595","178","TX",150,41820.4401171533
"596","178","UT",10,21861.466263
"597","178","VA",56,25718.4688605357
"598","178","VT",4,20162.15532
"599","178","WA",36,27765.8857527778
"600","178","WI",35,23312.8749684571
"601","178","WV",19,19583.7105289474
"602","178","WY",2,28223.140625
"603","189","AK",3,45137.0973566667
"604","189","AL",43,34495.470309
"605","189","AR",26,23562.7556538077
"606","189","AZ",35,36817.5936114286
"607","189","CA",168,67155.5755638095
"608","189","CO",25,36869.4149988
"609","189","CT",28,29834.4662946429
"610","189","DC",5,37322.103842
"611","189","DE",6,23902.9632983333
"612","189","FL",131,43073.2665467939
"613","189","GA",71,27499.2638794366
"614","189","HI",4,38133.92309
"615","189","IA",23,23364.4042343478
"616","189","ID",8,20822.33588875
"617","189","IL",88,35282.0172434091
"618","189","IN",63,24451.2211195079
"619","189","KS",21,29941.06305
"620","189","KY",47,21734.3468948936
"621","189","LA",26,31780.9219265385
"622","189","MA",46,18951.01031
"623","189","MD",39,16461.1916007436
"624","189","ME",16,21344.785605625
"625","189","MI",71,22574.6639748873
"626","189","MN",31,25591.6406874194
"627","189","MO",58,29417.824477931
"628","189","MS",28,29876.2532982143
"629","189","MT",7,20714.2466585714
"630","189","NC",76,21561.2104705921
"631","189","ND",6,17008.0658933333
"632","189","NE",11,35210.1616681818
"633","189","NH",12,27458.4824725
"634","189","NJ",53,70947.9468415094
"635","189","NM",5,44393.627362
"636","189","NV",16,63654.87804125
"637","189","NY",111,31666.7832665405
"638","189","OH",99,26406.0480831717
"639","189","OK",32,28561.5828665625
"640","189","OR",19,25821.9582505263
"641","189","PA",95,37507.2603776737
"642","189","RI",5,31842.739294
"643","189","SC",41,30698.58025
"644","189","SD",4,27307.10169
"645","189","TN",65,26417.1339173846
"646","189","TX",145,41758.7980475655
"647","189","UT",8,25392.4161875
"648","189","VA",64,25059.24210375
"649","189","VT",4,20995.5314925
"650","189","WA",41,30496.9754603415
"651","189","WI",40,23673.861081025
"652","189","WV",23,17577.054923
"653","189","WY",4,23555.0855325
"654","190","AK",7,33169.6940942857
"655","190","AL",76,23758.8098763158
"656","190","AR",39,21169.1290735897
"657","190","AZ",46,32697.9649786957
"658","190","CA",215,56418.3326680465
"659","190","CO",32,31550.106683125
"660","190","CT",30,24763.8659856667
"661","190","DC",7,31877.3913942857
"662","190","DE",6,19402.218695
"663","190","FL",160,39675.544234375
"664","190","GA",89,24872.4901580899
"665","190","HI",9,28730.1832511111
"666","190","IA",28,19105.9203082143
"667","190","ID",10,18036.7599858
"668","190","IL",122,29531.2217357951
"669","190","IN",72,21655.1118291667
"670","190","KS",28,25081.2593060714
"671","190","KY",63,19546.5880726508
"672","190","LA",51,26966.2076122157
"673","190","MA",56,15834.1911955357
"674","190","MD",43,12015.4927162326
"675","190","ME",19,18397.8773631579
"676","190","MI",85,18655.3395430588
"677","190","MN",41,19867.6096860976
"678","190","MO",65,24884.8037986154
"679","190","MS",48,25563.7907471458
"680","190","MT",9,15853.4956022222
"681","190","NC",82,19438.5506214634
"682","190","ND",6,13419.90537
"683","190","NE",18,29607.3139311111
"684","190","NH",13,20342.3043630769
"685","190","NJ",63,63514.0901503175
"686","190","NM",18,28879.5891172222
"687","190","NV",19,48377.1799352632
"688","190","NY",144,26407.5173872847
"689","190","OH",114,22170.385937807
"690","190","OK",54,21704.9657239074
"691","190","OR",20,22673.0778865
"692","190","PA",125,33256.202584872
"693","190","RI",10,24011.039548
"694","190","SC",46,29236.9822631739
"695","190","SD",6,23313.1391333333
"696","190","TN",83,22553.5254394819
"697","190","TX",218,32788.1305355826
"698","190","UT",11,20494.7493172727
"699","190","VA",73,22147.5958545205
"700","190","VT",6,15914.7416516667
"701","190","WA",41,25158.490392439
"702","190","WI",52,19841.6674838462
"703","190","WV",31,14807.5746593871
"704","190","WY",4,23294.206645
"705","191","AK",6,21070.2169138333
"706","191","AL",77,19485.7873340779
"707","191","AR",41,16941.3167269756
"708","191","AZ",46,26268.562048913
"709","191","CA",207,46203.5781189372
"710","191","CO",32,24482.636337625
"711","191","CT",29,20107.7380843448
"712","191","DC",7,26243.5609985714
"713","191","DE",5,18278.23646
"714","191","FL",159,31662.2589758239
"715","191","GA",90,19591.5290796889
"716","191","HI",6,24166.4749616667
"717","191","IA",29,15823.8547389655
"718","191","ID",8,14603.58107875
"719","191","IL",122,23784.5566400902
"720","191","IN",74,17627.0119542838
"721","191","KS",29,20191.8923717241
"722","191","KY",64,16199.5805808594
"723","191","LA",59,20376.0599175593
"724","191","MA",56,12533.0335131071
"725","191","MD",43,9048.75738337209
"726","191","ME",20,14422.4813057
"727","191","MI",82,15264.9123324634
"728","191","MN",38,16058.2443779211
"729","191","MO",68,19959.5467969853
"730","191","MS",50,19695.03922208
"731","191","MT",9,12726.1036841111
"732","191","NC",79,16163.095697519
"733","191","ND",6,11241.394115
"734","191","NE",18,22668.1221755556
"735","191","NH",13,17170.6893946154
"736","191","NJ",62,51094.9751532258
"737","191","NM",16,23691.133190625
"738","191","NV",19,39268.3406715789
"739","191","NY",148,20327.2792037568
"740","191","OH",117,17892.1559881282
"741","191","OK",58,17411.6238761552
"742","191","OR",24,18283.4983
"743","191","PA",130,25834.6668931538
"744","191","RI",10,19675.761999
"745","191","SC",45,23824.8128179111
"746","191","SD",7,16268.121486
"747","191","TN",87,17921.4073397586
"748","191","TX",215,27831.0148519488
"749","191","UT",8,16303.01028625
"750","191","VA",70,17999.6443444571
"751","191","VT",6,13246.2760783333
"752","191","WA",40,20136.362743
"753","191","WI",53,15990.1004772075
"754","191","WV",29,12467.6751545517
"755","191","WY",4,18023.35552
"756","192","AK",6,17648.6490095
"757","192","AL",84,14706.2204075833
"758","192","AR",41,13370.8371854146
"759","192","AZ",43,19770.2485437442
"760","192","CA",178,35480.5000544944
"761","192","CO",29,18867.3767767241
"762","192","CT",25,15771.02166252
"763","192","DC",6,18347.4735366667
"764","192","DE",5,12493.3353482
"765","192","FL",160,23500.8435179125
"766","192","GA",92,14820.320699337
"767","192","HI",7,19437.1853985714
"768","192","IA",29,12198.1925623793
"769","192","ID",7,10705.7682422857
"770","192","IL",123,17874.9481810488
"771","192","IN",74,13772.3382908514
"772","192","KS",33,15382.692923
"773","192","KY",65,12384.7056566154
"774","192","LA",60,14829.2397383
"775","192","MA",55,9708.19071036364
"776","192","MD",42,6940.50901561905
"777","192","ME",19,11542.5787035263
"778","192","MI",80,11656.4793645875
"779","192","MN",29,12933.8715733448
"780","192","MO",67,15420.5840689701
"781","192","MS",53,15553.7686201321
"782","192","MT",10,10185.6748731
"783","192","NC",77,12727.7059475844
"784","192","ND",4,9265.1954735
"785","192","NE",18,17902.1541577778
"786","192","NH",13,13946.17213
"787","192","NJ",60,39556.3064681667
"788","192","NM",23,15287.9896958261
"789","192","NV",19,28918.19746
"790","192","NY",145,15446.4130495655
"791","192","OH",116,13623.5465386379
"792","192","OK",59,13860.4384114237
"793","192","OR",19,14151.2799594211
"794","192","PA",132,19267.4737910985
"795","192","RI",9,15356.5142911111
"796","192","SC",46,17804.3288403043
"797","192","SD",10,12403.2436463
